Date,spot_ER_India,SR_interest_rate_india,SR_interest_rate_USA,SR_Interest_rate_diff_I_U,CPI_Inflation_India,CPI_inflation_USA,CPI_inflation_diff_I_U,Oil_price_growth_rate_WTI,global_EPU_PPP,gprc_india,US_EMV,US_MPU
2006-06-01,45.89,6,4.99,1.01,7.27,4.32,2.95,26.02,74.89,0.23,17.38,122
2006-07-01,46.37,6,5.24,0.76,6.33,4.15,2.19,26.67,67.93,0.38,18.61,176
2006-08-01,46.45,6,5.25,0.75,5.94,3.82,2.12,12.44,59.29,0.25,17.92,171
2006-09-01,46.01,6,5.25,0.75,6.4,2.06,4.34,-2.34,59.12,0.17,13.8,45
2006-10-01,45.36,6,5.25,0.75,6.92,1.31,5.61,-5.6,64.02,0.26,14.64,83
2006-11-01,44.73,6,5.25,0.75,5.95,1.97,3.98,1.68,60.72,0.22,12.13,46
2006-12-01,44.48,6,5.24,0.76,6.53,2.54,3.99,4.48,59.36,0.24,15.57,72
2007-01-01,44.21,6,5.25,0.75,6.72,2.08,4.65,-16.02,67.45,0.15,14.48,84
2007-02-01,44.02,6,5.26,0.74,7.56,2.42,5.15,-3.7,57.85,0.21,15.24,43
2007-03-01,43.79,6,5.26,0.74,6.72,2.78,3.94,-3.71,65.38,0.14,26.02,98
2007-04-01,42.02,6,5.25,0.75,6.67,2.57,4.09,-8.18,64.61,0.13,18.75,113
2007-05-01,40.57,6,5.25,0.75,6.61,2.69,3.92,-10.49,56.25,0.15,16.41,83
2007-06-01,40.59,6,5.25,0.75,5.69,2.69,3,-4.9,57.7,0.21,18.92,46
2007-07-01,40.27,6,5.26,0.74,6.45,2.36,4.09,-0.42,55.14,0.35,25.21,30
2007-08-01,40.68,6,5.02,0.98,7.26,1.97,5.29,-0.9,74.72,0.15,40.31,133
2007-09-01,40.17,6,4.94,1.06,6.4,2.76,3.64,24.2,93.96,0.23,25.32,135
2007-10-01,39.37,6,4.76,1.24,5.51,3.54,1.98,45.94,79.27,0.24,22.75,130
2007-11-01,39.33,6,4.49,1.51,5.51,4.31,1.21,59.84,81.54,0.28,23.47,189
2007-12-01,39.38,6,4.24,1.76,5.51,4.08,1.43,47.96,96.35,0.18,26.13,154
2008-01-01,39.27,6,3.94,2.06,5.51,4.28,1.23,69.74,133.49,0.23,34.55,142
2008-02-01,39.67,6,2.98,3.02,5.47,4.03,1.44,60.89,103.04,0.14,23.83,86
2008-03-01,40.15,6,2.61,3.39,7.87,3.98,3.89,74.2,125.93,0.13,28.79,85
2008-04-01,39.97,6,2.28,3.72,7.81,3.94,3.88,75.59,98.6,0.12,22.19,54
2008-05-01,42,6,1.98,4.02,7.75,4.18,3.58,97.87,80.93,0.24,18.93,86
2008-06-01,42.76,6,2,4,7.69,5.02,2.67,98.48,95.24,0.18,18.25,76
2008-07-01,42.7,6,2.01,3.99,8.33,5.6,2.73,80.91,104.03,0.27,27.89,73
2008-08-01,42.91,6,2,4,9.02,5.37,3.65,61.2,98.55,0.28,18.81,120
2008-09-01,45.53,6,1.81,4.19,9.77,4.94,4.84,31.16,169.35,0.28,55.97,95
2008-10-01,48.62,6,0.97,5.03,10.45,3.66,6.79,-11.22,204.89,0.2,69.84,99
2008-11-01,48.85,6,0.39,5.61,10.45,1.07,9.38,-39.89,145.52,0.51,36.67,48
2008-12-01,48.51,6,0.16,5.84,9.7,0.09,9.61,-55.71,150.81,0.89,29.52,43
2009-01-01,48.7,6,0.15,5.85,10.45,0.03,10.42,-55.23,146.86,0.35,31.16,48
2009-02-01,49.25,6,0.22,5.78,9.63,0.24,9.39,-59.02,144.65,0.24,33.24,50
2009-03-01,51.13,6,0.18,5.82,8.03,-0.38,8.41,-54.52,136.04,0.22,34.06,47
2009-04-01,49.97,6,0.15,5.85,8.7,-0.74,9.43,-55.57,106.55,0.36,24.75,69
2009-05-01,48.51,6,0.18,5.82,8.63,-1.28,9.91,-52.85,100.43,0.37,24.98,66
2009-06-01,47.67,6,0.21,5.79,9.29,-1.43,10.71,-47.98,116.81,0.24,22.38,37
2009-07-01,48.36,6,0.16,5.84,11.89,-2.1,13.99,-52.07,108.02,0.2,20.37,56
2009-08-01,48.24,6,0.16,5.84,11.72,-1.48,13.21,-39.1,100.19,0.16,19.77,66
2009-09-01,48.29,6,0.15,5.85,11.64,-1.29,12.93,-33.55,106.78,0.19,18.57,26
2009-10-01,46.65,6,0.12,5.88,11.49,-0.18,11.67,-0.6,87.69,0.34,19.06,37
2009-11-01,46.53,6,0.12,5.88,13.51,1.84,11.68,36.87,98.2,0.2,19.36,104
